vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,131,86.3%,0.0%,-86.3pp,113,0,113,111.0088,0,***,ok
dense,131,86.3%,71.8%,-14.5pp,19,0,19,17.0526,0,***,low
dense-surro-rescore,131,86.3%,67.2%,-19.1pp,26,1,27,21.3333,0,***,ok
no-rerank,131,86.3%,69.5%,-16.8pp,22,0,22,20.0455,0,***,low
oracle-doc,131,86.3%,11.5%,-74.8pp,102,4,106,88.7642,0,***,ok
random,131,86.3%,0.0%,-86.3pp,113,0,113,111.0088,0,***,ok
bm25-expanded,131,86.3%,70.2%,-16.0pp,22,1,23,17.3913,0.00001,***,low
oracle,131,86.3%,100.0%,13.7pp,0,18,18,16.0556,0.00001,***,low
no-covers,131,86.3%,73.3%,-13.0pp,17,0,17,15.0588,0.00002,***,low
dense-prf,131,86.3%,74.8%,-11.5pp,15,0,15,13.0667,0.00006,***,low
dense-rephrased,131,86.3%,74.8%,-11.5pp,15,0,15,13.0667,0.00006,***,low
bm25-surrogate,131,86.3%,74.0%,-12.2pp,17,1,18,12.5,0.00015,***,low
no-analysis,131,86.3%,75.6%,-10.7pp,15,1,16,10.5625,0.00052,***,low
no-concepts,131,86.3%,76.3%,-9.9pp,14,1,15,9.6,0.00098,***,low
bm25-lemma,131,86.3%,78.6%,-7.6pp,11,1,12,6.75,0.00635,**,low
bm25-raw,131,86.3%,79.4%,-6.9pp,10,1,11,5.8182,0.01172,*,low
full,131,86.3%,80.9%,-5.3pp,7,0,7,5.1429,0.01563,*,⚠ too few
rrf,131,86.3%,81.7%,-4.6pp,7,1,8,3.125,0.07031,ns,⚠ too few
dense-surro-rrf,131,86.3%,83.2%,-3.1pp,6,2,8,1.125,0.28906,ns,⚠ too few
triad,131,86.3%,83.2%,-3.1pp,7,3,10,0.9,0.34375,ns,low
