vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
bm25-expanded,131,85.5%,66.4%,-19.1pp,26,1,27,21.3333,0,***,ok
closed-book,131,85.5%,0.0%,-85.5pp,112,0,112,110.0089,0,***,ok
dense-rephrased,131,85.5%,71.0%,-14.5pp,19,0,19,17.0526,0,***,low
dense-surro-rescore,131,85.5%,60.3%,-25.2pp,34,1,35,29.2571,0,***,ok
no-rerank,131,85.5%,60.3%,-25.2pp,33,0,33,31.0303,0,***,ok
oracle,131,85.5%,100.0%,14.5pp,0,19,19,17.0526,0,***,low
oracle-doc,131,85.5%,4.6%,-80.9pp,109,3,112,98.4375,0,***,ok
random,131,85.5%,0.0%,-85.5pp,112,0,112,110.0089,0,***,ok
bm25-surrogate,131,85.5%,69.5%,-16.0pp,22,1,23,17.3913,0.00001,***,low
dense,131,85.5%,69.5%,-16.0pp,22,1,23,17.3913,0.00001,***,low
dense-prf,131,85.5%,71.0%,-14.5pp,20,1,21,15.4286,0.00002,***,low
no-covers,131,85.5%,73.3%,-12.2pp,17,1,18,12.5,0.00015,***,low
no-analysis,131,85.5%,74.8%,-10.7pp,15,1,16,10.5625,0.00052,***,low
no-concepts,131,85.5%,75.6%,-9.9pp,15,2,17,8.4706,0.00235,**,low
bm25-lemma,131,85.5%,76.3%,-9.2pp,14,2,16,7.5625,0.00418,**,low
bm25-raw,131,85.5%,76.3%,-9.2pp,14,2,16,7.5625,0.00418,**,low
triad,131,85.5%,75.6%,-9.9pp,16,3,19,7.5789,0.00443,**,low
dense-surro-rrf,131,85.5%,79.4%,-6.1pp,9,1,10,4.9,0.02148,*,low
rrf,131,85.5%,79.4%,-6.1pp,9,1,10,4.9,0.02148,*,low
full,131,85.5%,80.2%,-5.3pp,8,1,9,4,0.03906,*,⚠ too few
